v3_family,v4_subfamily,v3_tracks,v4_subfamily_tracks,largest_v4_subfamily,state
1,1.1,122,61,61,SUPERSEDED_BOUNDARY
1,1.2,122,26,61,SUPERSEDED_BOUNDARY
1,1.3,122,18,61,SUPERSEDED_BOUNDARY
1,1.4,122,11,61,SUPERSEDED_BOUNDARY
1,1.5,122,6,61,SUPERSEDED_BOUNDARY
2,2.1,29,25,25,SUPERSEDED_BOUNDARY
2,2.2,29,4,25,SUPERSEDED_BOUNDARY
3,3.1,26,21,21,SUPERSEDED_BOUNDARY
3,3.2,26,3,21,SUPERSEDED_BOUNDARY
3,3.3,26,2,21,SUPERSEDED_BOUNDARY
4,4.1,17,10,10,SUPERSEDED_BOUNDARY
4,4.2,17,4,10,SUPERSEDED_BOUNDARY
4,4.3,17,3,10,SUPERSEDED_BOUNDARY
