registration,callsign,operator,aircraft_type,tail_number,sightings,registry_status
N5854Z,N5854Z,,,N5854Z,766,
N407PR,N407PR,,,N407PR,399,
N767PD,N767PD,,,N767PD,394,
N413LP,N413LP,,,N413LP,285,
N150F,N150F,,,N150F,165,
N684JB,N684JB,,,N684JB,88,
N196DM,N196DM,,,N196DM,83,
N2JJ,N2JJ,,,N2JJ,67,
N79036,N79036,,,N79036,29,
N26370,N26370,,,N26370,18,
N999ZY,N999ZY,,,N999ZY,13,
N13VL,N13VL,,,N13VL,6,
N540DB,N540DB,"MASTER LINK CORP, Barceloneta PR",Eurocopter AS350 B2,N540DB,442,confirmed_real
N253TH,N253TH,"Aerostar, SD — NOT assigned",(reserved N-number only),N253TH,274,reserved_suspect_ocr
N255PD,N255PD,SALE REPORTED (San Juan; cert in question; PD=police-pattern),Bell 429,N255PD,238,confirmed_real
N936DM,N936DM,,,N936DM,213,
N357KV,N357KV,,,N357KV,205,
N620GG,N620GG,,,N620GG,172,
N785W,N785W,,,N785W,135,
N68EG,N68EG,,,N68EG,88,
N56RF,N56RF,US DEPT OF COMMERCE / NOAA Aircraft Ops Center,DHC-6-300 Twin Otter,N56RF,70,confirmed_real
N50B,N50B,,,N50B,69,
N145CC,N145CC,,,N145CC,58,
N615BD,N615BD,,,N615BD,51,
N691CM,N691CM,,,N691CM,50,
N104GG,N104GG,,,N104GG,34,
N98JC,N98JC,,,N98JC,33,
N524AL,N524AL,,,N524AL,32,
N5855Z,N5855Z,PUERTO RICO ELECTRIC POWER AUTHORITY (PREPA Air Ops),Eurocopter AS350 B2,N5855Z,32,confirmed_real
N811NA,N811NA,,,N811NA,28,
N26DP,N26DP,,,N26DP,26,
N2658,N2658,,,N2658,24,
N13429,N13429,,,N13429,23,
N322AC,N322AC,,,N322AC,22,
N55065,N55065,,,N55065,22,
N888EV,N888EV,,,N888EV,22,
N1348L,N1348L,,,N1348L,20,
N6999F,N6999F,,,N6999F,19,
N76LD,N76LD,,,N76LD,18,
N255RM,N255RM,,,N255RM,15,
N818KB,N818KB,,,N818KB,15,
N8S,N8S,,,N8S,15,
N18BN,N18BN,,,N18BN,14,
N278UA,N278UA,,,N278UA,14,
N12100,N12100,,,N12100,11,
N35211,N35211,,,N35211,11,
N960GC,N960GC,,,N960GC,11,
N135U,N135U,,,N135U,9,
N21732,N21732,,,N21732,9,
N6654G,N6654G,,,N6654G,8,
N787RA,N787RA,,,N787RA,8,
N813KB,N813KB,,,N813KB,8,
N106BC,N106BC,,,N106BC,7,
N183RL,N183RL,,,N183RL,7,
N3001Z,N3001Z,,,N3001Z,7,
N49RF,N49RF,,,N49RF,7,
N7279E,N7279E,,,N7279E,7,
N809XR,N809XR,,,N809XR,7,
N292BA,N292BA,,,N292BA,6,
N414BR,N414BR,,,N414BR,6,
N4814D,N4814D,,,N4814D,6,
N911ZG,N911ZG,,,N911ZG,6,
N24,N24,,,N24,5,
N4126U,N4126U,,,N4126U,5,
N4165U,N4165U,,,N4165U,5,
N947EL,N947EL,,,N947EL,5,
N9S,N9S,,,N9S,5,
N1365U,N1365U,,,N1365U,4,
N138BC,N138BC,,,N138BC,4,
N207SS,N207SS,,,N207SS,4,
N42RF,N42RF,,,N42RF,4,
N4397R,N4397R,,,N4397R,4,
N5070J,N5070J,,,N5070J,4,
N539BT,N539BT,,,N539BT,4,
N57FS,N57FS,,,N57FS,4,
N696R,N696R,,,N696R,4,
N888JJ,N888JJ,,,N888JJ,4,
N918TD,N918TD,,,N918TD,4,
N9245C,N9245C,,,N9245C,4,
N9636H,N9636H,,,N9636H,4,
N965HL,N965HL,,,N965HL,4,
N97AQ,N97AQ,,,N97AQ,4,
N995AE,N995AE,,,N995AE,4,
N107CG,N107CG,,,N107CG,3,
N120CR,N120CR,,,N120CR,3,
N12552,N12552,,,N12552,3,
N173B,N173B,,,N173B,3,
N1811F,N1811F,,,N1811F,3,
N2614L,N2614L,,,N2614L,3,
N387QS,N387QS,,,N387QS,3,
N41TE,N41TE,,,N41TE,3,
N436EA,N436EA,,,N436EA,3,
N459SF,N459SF,,,N459SF,3,
N5102Y,N5102Y,,,N5102Y,3,
N540PA,N540PA,,,N540PA,3,
N565SK,N565SK,,,N565SK,3,
N642AN,N642AN,,,N642AN,3,
N716XJ,N716XJ,,,N716XJ,3,
N822BK,N822BK,,,N822BK,3,
N8889V,N8889V,,,N8889V,3,
N891L,N891L,,,N891L,3,
N932QS,N932QS,,,N932QS,3,
N954JS,N954JS,,,N954JS,3,
N962HL,N962HL,,,N962HL,3,
N963HL,N963HL,,,N963HL,3,
N9930H,N9930H,,,N9930H,3,
N107CV,N107CV,,,N107CV,2,
N120RH,N120RH,,,N120RH,2,
N125QS,N125QS,,,N125QS,2,
N128HR,N128HR,,,N128HR,2,
N168QS,N168QS,,,N168QS,2,
N16YP,N16YP,,,N16YP,2,
N1952R,N1952R,,,N1952R,2,
N200LB,N200LB,,,N200LB,2,
N2107U,N2107U,,,N2107U,2,
N210CM,N210CM,,,N210CM,2,
N221SR,N221SR,,,N221SR,2,
N224TW,N224TW,,,N224TW,2,
N22FY,N22FY,,,N22FY,2,
N23,N23,,,N23,2,
N237QS,N237QS,,,N237QS,2,
N256TW,N256TW,,,N256TW,2,
N271TM,N271TM,,,N271TM,2,
N280PQ,N280PQ,,,N280PQ,2,
N311UM,N311UM,,,N311UM,2,
N350DH,N350DH,,,N350DH,2,
N35LJ,N35LJ,,,N35LJ,2,
N3736D,N3736D,,,N3736D,2,
N40216,N40216,,,N40216,2,
N411PR,N411PR,,,N411PR,2,
N4314Q,N4314Q,,,N4314Q,2,
N455EA,N455EA,,,N455EA,2,
N4828S,N4828S,,,N4828S,2,
N504FX,N504FX,,,N504FX,2,
N516PR,N516PR,,,N516PR,2,
N536XJ,N536XJ,,,N536XJ,2,
N544PS,N544PS,,,N544PS,2,
N582FX,N582FX,,,N582FX,2,
N597QS,N597QS,,,N597QS,2,
N6094F,N6094F,,,N6094F,2,
N610GH,N610GH,,,N610GH,2,
N618AN,N618AN,,,N618AN,2,
N63149,N63149,,,N63149,2,
N679MM,N679MM,,,N679MM,2,
N68379,N68379,,,N68379,2,
N693AR,N693AR,,,N693AR,2,
N6S,N6S,,,N6S,2,
N706QS,N706QS,,,N706QS,2,
N710RH,N710RH,,,N710RH,2,
N723AS,N723AS,,,N723AS,2,
N733CH,N733CH,,,N733CH,2,
N734DJ,N734DJ,,,N734DJ,2,
N752QS,N752QS,,,N752QS,2,
N80338,N80338,,,N80338,2,
N8091Q,N8091Q,,,N8091Q,2,
N8107V,N8107V,,,N8107V,2,
N846DJ,N846DJ,,,N846DJ,2,
N846QS,N846QS,,,N846QS,2,
N8498C,N8498C,,,N8498C,2,
N852KT,N852KT,,,N852KT,2,
N85LJ,N85LJ,,,N85LJ,2,
N8705Q,N8705Q,,,N8705Q,2,
N913GD,N913GD,,,N913GD,2,
N9321E,N9321E,,,N9321E,2,
N943UP,N943UP,,,N943UP,2,
N9645H,N9645H,,,N9645H,2,
N9777M,N9777M,,,N9777M,2,
N982EC,N982EC,,,N982EC,2,
N990MS,N990MS,,,N990MS,2,
N990TC,N990TC,,,N990TC,2,
N9SA,N9SA,,,N9SA,2,
N102US,N102US,,,N102US,1,
N1052A,N1052A,,,N1052A,1,
N129NS,N129NS,,,N129NS,1,
N143QS,N143QS,,,N143QS,1,
N147PJ,N147PJ,,,N147PJ,1,
N167QS,N167QS,,,N167QS,1,
N16895,N16895,,,N16895,1,
N168CP,N168CP,,,N168CP,1,
N1852V,N1852V,,,N1852V,1,
N189MD,N189MD,,,N189MD,1,
N201HR,N201HR,,,N201HR,1,
N212AR,N212AR,,,N212AR,1,
N212BS,N212BS,,,N212BS,1,
N219QS,N219QS,,,N219QS,1,
N235LJ,N235LJ,,,N235LJ,1,
N235RB,N235RB,,,N235RB,1,
N237CM,N237CM,,,N237CM,1,
N246CP,N246CP,,,N246CP,1,
N250LP,N250LP,,,N250LP,1,
N255TH,N255TH,,,N255TH,1,
N260AC,N260AC,,,N260AC,1,
N260KP,N260KP,,,N260KP,1,
N261GM,N261GM,,,N261GM,1,
N262QS,N262QS,,,N262QS,1,
N2777A,N2777A,,,N2777A,1,
N28FN,N28FN,,,N28FN,1,
N298EF,N298EF,,,N298EF,1,
N3002K,N3002K,,,N3002K,1,
N301AZ,N301AZ,,,N301AZ,1,
N311GJ,N311GJ,,,N311GJ,1,
N314RC,N314RC,,,N314RC,1,
N33321,N33321,,,N33321,1,
N3732X,N3732X,,,N3732X,1,
N38,N38,,,N38,1,
N392FX,N392FX,,,N392FX,1,
N395FX,N395FX,,,N395FX,1,
N3S,N3S,,,N3S,1,
N42,N42,,,N42,1,
N421B,N421B,,,N421B,1,
